pNLP,seed,rawObjective,rawGapPercent,feasibleRaw,topologyMatch,maxEqRaw,maxIneqRaw,polishedObjective,polishedGapPercent,feasiblePolished,maxEqPolished,maxIneqPolished,iterations,runtimeCORAL,globalModelEvaluations,localObjectiveEvaluations,localConstraintEvaluations,totalModelEvaluations,totalOracleCalls,localNLPCalls,localNLPIterations,localNLPRuntime,topologyRepairChanges,polishRuntime,polishObjectiveCalls,topologyLabel
1,12001,68.0093440791633,-0.000588109700049133,1,1,9.99827089687155e-06,0,68.0097440510653,4.3880175287113e-13,1,3.33066907387547e-16,0,300,5052.1019351,76117,7982421,7982421,8058538,16040959,34153,277688,1322.8033971,15481,0.0174711,130,P2-P4-P6-P8
1,12002,68.0097440503036,-1.11955043414677e-09,1,1,2.4580115720596e-11,2.50355292052973e-14,68.0097440510651,1.46267250957043e-13,1,2.22044604925008e-16,5.55111512312578e-17,81,10459.1879151,20482,2276184,2276184,2296666,4572850,9184,79574,465.6170487,4017,0.0157623,137,P2-P4-P6-P8
1,12003,68.0097440505352,-7.79019378597212e-10,1,1,1.98785432559134e-11,3.60822483003176e-15,68.0097440510651,1.25371929391751e-13,1,2.22044604925031e-16,0,81,515.9878313,20472,2268608,2268608,2289080,4557688,9176,79272,487.593586599998,4054,0.0343963,130,P2-P4-P6-P8
1,12004,68.0097439852693,-9.67444821391173e-08,1,1,2.07789352391075e-09,8.88178419700125e-16,68.0097440510651,1.46267250957043e-13,1,4.44089209850063e-16,0,81,360.3130832,20485,2264106,2264106,2284591,4548697,9185,79107,339.838880299999,3968,0.0218931,130,P2-P4-P6-P8
1,12005,68.0097440467762,-6.30618715308353e-09,1,1,1.36239797221549e-10,2.74780198594726e-14,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,328.1825357,20486,2277504,2277504,2297990,4575494,9185,79571,309.292980099999,4089,0.0309167,137,P2-P4-P6-P8
1,12006,68.0093440626635,-0.000588133960854771,1,1,9.99969341919371e-06,2.27595720048157e-14,68.0097440510651,1.25371929391751e-13,1,4.44089209850063e-16,0,227,5448.3229232,57555,6097625,6097625,6155180,12252805,25823,212446,5393.93795249998,11720,0.0249384,130,P2-P4-P6-P8
1,12007,68.0097440502404,-1.21253461511232e-09,1,1,1.92042483815325e-06,7.105427357601e-15,68.0097440510651,1.46267250957043e-13,1,4.44089209850063e-16,0,81,443.8111018,20515,2267228,2267228,2287743,4554971,9187,79237,419.604330200002,4094,0.0178409,105,P2-P4-P6-P8
1,12008,68.0097440393658,-1.72022197458775e-08,1,1,3.7244374251344e-10,4.44089209850063e-16,68.0097440510651,1.25371929391751e-13,1,4.44089209850063e-16,0,81,380.2398165,20502,2276241,2276241,2296743,4572984,9190,79505,358.875698300001,4075,0.0299783,162,P2-P4-P6-P8
1,12009,68.0093437859732,-0.000588540800058115,1,1,9.99861430805993e-06,6.13675776861555e-13,68.0097440510701,7.54321108507037e-12,1,4.44089209850063e-16,0,290,1301.1963602,73561,7693686,7693686,7767247,15460933,33016,267457,1225.33894060001,14865,0.0243135,130,P2-P4-P6-P8
1,12010,68.0097440471033,-5.82521864129364e-09,1,1,1.25133570172409e-10,3.25850457727483e-14,68.0097440510651,1.46267250957043e-13,1,2.22044604925031e-16,0,81,560.340352,20506,2269566,2269566,2290072,4559638,9191,79295,528.857763099997,4119,0.016978,130,P2-P4-P6-P8
